,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity
194,2020-07-28 11:30:48+00:00,1865,News,nyt://article/c55a25ed-11b2-5cc8-8b56-cbc78ec5f6e1,The bosses of four tech giants are preparing to defend themselves at a congressional hearing against claims of anti-competitive behavior.," There is a lot of chatter about David Solomon’s D.J. gig at a packed Hamptons concert over the weekend, where a seeming lack of social distancing has led to an investigation by the New York health authorities. For the Goldman Sachs chief, eyebrows are being raised about his judgment, along with a healthy dose of schadenfreude. More below. (Want this delivered to your inbox each morning? Sign up here.)",The bosses of four tech giants are preparing to defend themselves at a congressional hearing against claims of anti-competitive behavior.,Tech’s ‘Big Tobacco’ Moment,"The bosses of four tech giants are preparing to defend themselves at a congressional hearing against claims of anti-competitive behavior.  There is a lot of chatter about David Solomon’s D.J. gig at a packed Hamptons concert over the weekend, where a seeming lack of social distancing has led to an investigation by the New York health authorities. For the Goldman Sachs chief, eyebrows are being raised about his judgment, along with a healthy dose of schadenfreude. More below. (Want this delivered to your inbox each morning? Sign up here.) The bosses of four tech giants are preparing to defend themselves at a congressional hearing against claims of anti-competitive behavior. Tech’s ‘Big Tobacco’ Moment ",3,0,0.23393939393939395,0.3242424242424243
196,2020-04-28 22:08:52+00:00,433,News,nyt://article/c80682c0-f950-5d8f-b46e-689163290b6c,The chief executive of Google’s parent company said it experienced a “significant and sudden slowdown” in advertising in March.,"OAKLAND, Calif. — Until the coronavirus took hold in the United States, Google’s parent company, Alphabet, was marching forward to another predictably strong quarter.",The chief executive of Google’s parent company said it experienced a “significant and sudden slowdown” in advertising in March.,"Alphabet’s Profit Is Up, but Company Warns of Difficulties","The chief executive of Google’s parent company said it experienced a “significant and sudden slowdown” in advertising in March. OAKLAND, Calif. — Until the coronavirus took hold in the United States, Google’s parent company, Alphabet, was marching forward to another predictably strong quarter. The chief executive of Google’s parent company said it experienced a “significant and sudden slowdown” in advertising in March. Alphabet’s Profit Is Up, but Company Warns of Difficulties ",1,3,0.3976190476190476,0.7547619047619047
197,2020-09-28 17:03:44+00:00,648,News,nyt://article/c84e5c29-85cb-55f1-9210-437120e76135,Some companies like Netflix and Spotify had avoided making the payment when people paid for something inside their apps.,"OAKLAND, Calif. — Google said it would no longer allow any apps to circumvent its payment system within the Google Play store that provides the company a cut of in-app purchases.",Some companies like Netflix and Spotify had avoided making the payment when people paid for something inside their apps.,Google Demands 30% Cut From App Developers in Its Play Store,"Some companies like Netflix and Spotify had avoided making the payment when people paid for something inside their apps. OAKLAND, Calif. — Google said it would no longer allow any apps to circumvent its payment system within the Google Play store that provides the company a cut of in-app purchases. Some companies like Netflix and Spotify had avoided making the payment when people paid for something inside their apps. Google Demands 30% Cut From App Developers in Its Play Store ",5,3,0.0,0.0
200,2020-03-23 09:00:30+00:00,1833,News,nyt://article/c95046e1-2b7b-5a62-9991-dbfa4f622e0b,"As chief executives hunker down during the pandemic, home offices have become corporate headquarters.","On Thursday morning, Chuck Robbins, the chief executive of Cisco, signed on to an companywide video conference from his home office in Silicon Valley. The connection was stable, but the quality was not great.","As chief executives hunker down during the pandemic, home offices have become corporate headquarters.","Logged On From the Laundry Room: How the C.E.O.s of Google, Pfizer and Slack Work From Home","As chief executives hunker down during the pandemic, home offices have become corporate headquarters. On Thursday morning, Chuck Robbins, the chief executive of Cisco, signed on to an companywide video conference from his home office in Silicon Valley. The connection was stable, but the quality was not great. As chief executives hunker down during the pandemic, home offices have become corporate headquarters. Logged On From the Laundry Room: How the C.E.O.s of Google, Pfizer and Slack Work From Home ",5,1,-0.14222222222222222,0.2655555555555556
201,2021-11-04 16:45:08+00:00,278,News,nyt://article/c9e996d7-75f7-5223-9692-3aea4032960e,Isomorphic Labs is a spinoff of the London-based artificial intelligence lab DeepMind.,"Google’s parent company, Alphabet, is launching an operation dedicated to drug discovery.",Isomorphic Labs is a spinoff of the London-based artificial intelligence lab DeepMind.,Google’s parent launches a company dedicated to drug discovery.,"Isomorphic Labs is a spinoff of the London-based artificial intelligence lab DeepMind. Google’s parent company, Alphabet, is launching an operation dedicated to drug discovery. Isomorphic Labs is a spinoff of the London-based artificial intelligence lab DeepMind. Google’s parent launches a company dedicated to drug discovery. ",4,2,-0.6,1.0
202,2021-01-04 11:05:56+00:00,1108,Op-Ed,nyt://article/caa1d4a3-4777-5e0b-b117-d7fada7fb52f,Our company’s motto used to be “Don’t be evil.” An organized work force will help us live up to it.,"On Nov. 1, 2018, at 11:10 a.m., some 20,000 Google employees, along with employees of Waymo, Verily and other Alphabet companies, stopped working and walked off the job in cities around the world. A week earlier, The New York Times reported that the company had paid tens of millions of dollars to two executives who had been accused of sexual misconduct toward our co-workers, staying silent about the alleged abuse and letting them walk away with no consequences.",Our company’s motto used to be “Don’t be evil.” An organized work force will help us live up to it.,We Built Google. This Is Not the Company We Want to Work For.,"Our company’s motto used to be “Don’t be evil.” An organized work force will help us live up to it. On Nov. 1, 2018, at 11:10 a.m., some 20,000 Google employees, along with employees of Waymo, Verily and other Alphabet companies, stopped working and walked off the job in cities around the world. A week earlier, The New York Times reported that the company had paid tens of millions of dollars to two executives who had been accused of sexual misconduct toward our co-workers, staying silent about the alleged abuse and letting them walk away with no consequences. Our company’s motto used to be “Don’t be evil.” An organized work force will help us live up to it. We Built Google. This Is Not the Company We Want to Work For. ",3,2,-0.1315909090909091,0.5362878787878789
204,2020-12-17 17:22:10+00:00,1144,News,nyt://article/cb9d5eab-1cbf-57b8-a8f0-807bc893302d,What the Microsoft case teaches us about antitrust and the power of Big Tech today.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,What the Microsoft case teaches us about antitrust and the power of Big Tech today.,Microsoft’s Lessons for Google,What the Microsoft case teaches us about antitrust and the power of Big Tech today. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. What the Microsoft case teaches us about antitrust and the power of Big Tech today. Microsoft’s Lessons for Google ,3,1,0.0,0.1
205,2020-10-22 22:25:03+00:00,1742,Op-Ed,nyt://article/cc252d86-2ab7-553d-8331-17e06d96fbeb,A lawsuit with bipartisan support could herald a new era of trustbusting.,This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,A lawsuit with bipartisan support could herald a new era of trustbusting.,The Case Against Google,A lawsuit with bipartisan support could herald a new era of trustbusting. This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays. A lawsuit with bipartisan support could herald a new era of trustbusting. The Case Against Google ,1,1,0.13636363636363635,0.45454545454545453
206,2021-09-10 16:32:28+00:00,1514,News,nyt://article/ce205347-332e-5ad4-8c0f-1366f077b661,"The company realized months ago that it could be running afoul of pay laws in a number of countries but has been slow to fix the problem, according to internal documents.","In December, a group of Google managers responsible for overseeing thousands of its temporary staff members discovered the company had been underpaying some of those workers for years.","The company realized months ago that it could be running afoul of pay laws in a number of countries but has been slow to fix the problem, according to internal documents.",Google Could Be Violating Labor Laws With Pay for Temp Workers,"The company realized months ago that it could be running afoul of pay laws in a number of countries but has been slow to fix the problem, according to internal documents. In December, a group of Google managers responsible for overseeing thousands of its temporary staff members discovered the company had been underpaying some of those workers for years. The company realized months ago that it could be running afoul of pay laws in a number of countries but has been slow to fix the problem, according to internal documents. Google Could Be Violating Labor Laws With Pay for Temp Workers ",1,2,-0.08000000000000002,0.26999999999999996
208,2020-11-12 17:18:24+00:00,1124,News,nyt://article/d034e942-675e-5b9c-b847-ee21b2c3ea29,"Computers are no longer boring. This year, they’re everything.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"Computers are no longer boring. This year, they’re everything.",2020’s Hot Gadget Is the Computer,"Computers are no longer boring. This year, they’re everything. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Computers are no longer boring. This year, they’re everything. 2020’s Hot Gadget Is the Computer ",4,0,-0.5833333333333334,0.9500000000000001
209,2021-03-09 18:12:18+00:00,1201,News,nyt://article/d061c206-a70a-5b83-b4b4-33dbd5900b17,"Is the mania for subscriptions a choice, or the only path in an ad system dominated by giants?",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"Is the mania for subscriptions a choice, or the only path in an ad system dominated by giants?",Google and Facebook Killed Free,"Is the mania for subscriptions a choice, or the only path in an ad system dominated by giants? This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Is the mania for subscriptions a choice, or the only path in an ad system dominated by giants? Google and Facebook Killed Free ",5,1,0.05,0.7
210,2020-10-20 17:13:36+00:00,1205,News,nyt://article/d10ca056-93fe-5fc6-9bae-87d3244c9450,Maybe all Google needed to keep from acting like a monopoly was more effective government oversight.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Maybe all Google needed to keep from acting like a monopoly was more effective government oversight.,Why the Government Is Suing Google,Maybe all Google needed to keep from acting like a monopoly was more effective government oversight. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Maybe all Google needed to keep from acting like a monopoly was more effective government oversight. Why the Government Is Suing Google ,3,3,0.3666666666666667,0.43333333333333335
211,2020-12-17 12:50:29+00:00,1713,News,nyt://article/d12bf384-9f90-50c9-a506-760639df1438,Facebook’s slap at Apple shows Silicon Valley is feeling the regulatory heat.,"When Big Tech’s C.E.O.s are hauled before Congress and accused of amassing excessive power, the leaders from Apple, Facebook, Google and others have often tried to present a united front. But these companies are also competitors, and have recently taken to calling on regulators to go after each other.",Facebook’s slap at Apple shows Silicon Valley is feeling the regulatory heat.,Big Tech’s Circular Firing Squad,"Facebook’s slap at Apple shows Silicon Valley is feeling the regulatory heat. When Big Tech’s C.E.O.s are hauled before Congress and accused of amassing excessive power, the leaders from Apple, Facebook, Google and others have often tried to present a united front. But these companies are also competitors, and have recently taken to calling on regulators to go after each other. Facebook’s slap at Apple shows Silicon Valley is feeling the regulatory heat. Big Tech’s Circular Firing Squad ",4,1,-0.0625,0.3041666666666667
214,2020-05-06 17:31:14+00:00,1227,News,nyt://article/d412fb2f-d519-523b-bda3-45341274d0ac,"Communicating with loved ones is crucial to get through quarantine, and it doesn’t have to be complicated.","For most of us, the coronavirus pandemic moved our lives almost entirely inside and online. Staying in touch with loved ones near and far away now relies on a patchwork of phone calls, emails, text messages and an array of video-chat platforms.","Communicating with loved ones is crucial to get through quarantine, and it doesn’t have to be complicated.",5 Ways to Stay in Touch With Less Tech-Savvy Family and Friends,"Communicating with loved ones is crucial to get through quarantine, and it doesn’t have to be complicated. For most of us, the coronavirus pandemic moved our lives almost entirely inside and online. Staying in touch with loved ones near and far away now relies on a patchwork of phone calls, emails, text messages and an array of video-chat platforms. Communicating with loved ones is crucial to get through quarantine, and it doesn’t have to be complicated. 5 Ways to Stay in Touch With Less Tech-Savvy Family and Friends ",5,0,0.1361111111111111,0.7493055555555556
215,2021-02-17 12:57:49+00:00,1222,News,nyt://article/d4daa560-06f1-5592-a76c-0719b81b1a77,Pathbreaking legislation showed that even a small nation can get the tech giant to bend. But the United States seems unlikely to follow.,"SYDNEY, Australia — Just a few weeks after Google threatened to leave Australia if the government forced tech platforms to pay for news, the search giant is suddenly showering money on its most demanding critics.",Pathbreaking legislation showed that even a small nation can get the tech giant to bend. But the United States seems unlikely to follow.,Google Is Suddenly Paying for News in Australia. What About Everywhere Else?,"Pathbreaking legislation showed that even a small nation can get the tech giant to bend. But the United States seems unlikely to follow. SYDNEY, Australia — Just a few weeks after Google threatened to leave Australia if the government forced tech platforms to pay for news, the search giant is suddenly showering money on its most demanding critics. Pathbreaking legislation showed that even a small nation can get the tech giant to bend. But the United States seems unlikely to follow. Google Is Suddenly Paying for News in Australia. What About Everywhere Else? ",5,2,-0.125,0.55
216,2021-02-18 18:03:22+00:00,1259,News,nyt://article/d537fc0f-ca2c-539e-a64a-056f53df6998,A big question about the future of commerce is how local businesses will succeed online.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,A big question about the future of commerce is how local businesses will succeed online.,Who Wins the (Online) Corner Store?,A big question about the future of commerce is how local businesses will succeed online. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. A big question about the future of commerce is how local businesses will succeed online. Who Wins the (Online) Corner Store? ,3,0,0.04285714285714286,0.09285714285714286
217,2021-02-18 23:57:55+00:00,1141,Op-Ed,nyt://article/d6118088-326f-5349-8d08-d61433b9e51c,What to make of a proposed law that would require tech companies to pay for news that appears on their platforms.,"To hear more audio stories from publishers like The New York Times, download Audm for iPhone or Android.",What to make of a proposed law that would require tech companies to pay for news that appears on their platforms.,A New-Media Showdown in Australia,"What to make of a proposed law that would require tech companies to pay for news that appears on their platforms. To hear more audio stories from publishers like The New York Times, download Audm for iPhone or Android. What to make of a proposed law that would require tech companies to pay for news that appears on their platforms. A New-Media Showdown in Australia ",5,0,0.3181818181818182,0.4772727272727273
218,2020-09-03 19:21:35+00:00,1657,News,nyt://article/d77c163a-8503-5fa8-8a69-919a5c434668,The attorney general is said to have set a deadline over the objections of career lawyers who say they need more time to build the case.,"WASHINGTON — The Justice Department plans to bring an antitrust case against Google as soon as this month, after Attorney General William P. Barr overruled career lawyers who said they needed more time to build a strong case against one of the world’s wealthiest, most formidable technology companies, according to five people briefed on internal department conversations.",The attorney general is said to have set a deadline over the objections of career lawyers who say they need more time to build the case.,Justice Dept. Plans to File Antitrust Charges Against Google in Coming Weeks,"The attorney general is said to have set a deadline over the objections of career lawyers who say they need more time to build the case. WASHINGTON — The Justice Department plans to bring an antitrust case against Google as soon as this month, after Attorney General William P. Barr overruled career lawyers who said they needed more time to build a strong case against one of the world’s wealthiest, most formidable technology companies, according to five people briefed on internal department conversations. The attorney general is said to have set a deadline over the objections of career lawyers who say they need more time to build the case. Justice Dept. Plans to File Antitrust Charges Against Google in Coming Weeks ",1,2,0.287037037037037,0.4703703703703704
219,2020-12-17 17:55:37+00:00,1346,News,nyt://article/d8bf29ae-d72d-5a23-bb99-d366a53197c1,More than 30 states said that the company downplayed websites that let users search for information in specialized areas.,"More than 30 states added to Google’s mushrooming legal woes on Thursday, accusing the Silicon Valley titan of illegally arranging its search results to push out smaller rivals.",More than 30 states said that the company downplayed websites that let users search for information in specialized areas.,Google’s Legal Peril Grows in Face of Third Antitrust Suit,"More than 30 states said that the company downplayed websites that let users search for information in specialized areas. More than 30 states added to Google’s mushrooming legal woes on Thursday, accusing the Silicon Valley titan of illegally arranging its search results to push out smaller rivals. More than 30 states said that the company downplayed websites that let users search for information in specialized areas. Google’s Legal Peril Grows in Face of Third Antitrust Suit ",1,2,0.175,0.36250000000000004
220,2020-07-29 21:51:25+00:00,933,News,nyt://article/d9705903-55cb-5c5f-9191-ed7afe490afd,"It’s a tongue twister, but also a strategy. Jeff Bezos, Mark Zuckerberg, Tim Cook and Sundar Pichai appeared before Congress and dressed the part.","They didn’t look like titans. They didn’t look like masters of the universe. They didn’t look like “emperors of the online economy,” as Representative David Cicilline, chairman of the antitrust subcommittee of the House Judiciary Committee and Democrat from Rhode Island, called them. Nor did they look like “cyber barons,” as Representative Jamie Raskin, a Democrat from Maryland, said.","It’s a tongue twister, but also a strategy. Jeff Bezos, Mark Zuckerberg, Tim Cook and Sundar Pichai appeared before Congress and dressed the part.",Titans of Tech Testify in Their Trust-Me Suits,"It’s a tongue twister, but also a strategy. Jeff Bezos, Mark Zuckerberg, Tim Cook and Sundar Pichai appeared before Congress and dressed the part. They didn’t look like titans. They didn’t look like masters of the universe. They didn’t look like “emperors of the online economy,” as Representative David Cicilline, chairman of the antitrust subcommittee of the House Judiciary Committee and Democrat from Rhode Island, called them. Nor did they look like “cyber barons,” as Representative Jamie Raskin, a Democrat from Maryland, said. It’s a tongue twister, but also a strategy. Jeff Bezos, Mark Zuckerberg, Tim Cook and Sundar Pichai appeared before Congress and dressed the part. Titans of Tech Testify in Their Trust-Me Suits ",5,0,0.0,0.0
221,2020-01-10 18:42:32+00:00,844,News,nyt://article/d9afe9e5-7de6-5165-8723-56a5516f7b3c,"David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company.","SAN FRANCISCO — David Drummond, the chief legal officer of Google’s parent company, Alphabet, and one of its most senior executives, is leaving the internet giant amid an investigation into his relationships with women who worked at the company.","David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company.",Alphabet’s Chief Legal Officer Stepping Down Amid Investigation,"David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company. SAN FRANCISCO — David Drummond, the chief legal officer of Google’s parent company, Alphabet, and one of its most senior executives, is leaving the internet giant amid an investigation into his relationships with women who worked at the company. David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company. Alphabet’s Chief Legal Officer Stepping Down Amid Investigation ",2,1,0.08271604938271604,0.4654320987654321
222,2020-05-02 09:00:19+00:00,2487,News,nyt://article/da99eeb0-7a93-5193-8f93-72d0362dcb80,The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex.,"In July 2016, Raymond Thomas, a four-star general and head of the U.S. Special Operations Command, hosted a guest: Eric Schmidt, the chairman of Google.",The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex.,‘I Could Solve Most of Your Problems’: Eric Schmidt’s Pentagon Offensive,"The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex. In July 2016, Raymond Thomas, a four-star general and head of the U.S. Special Operations Command, hosted a guest: Eric Schmidt, the chairman of Google. The former Google C.E.O. has reinvented himself as the prime liaison between Silicon Valley and the military-industrial complex. ‘I Could Solve Most of Your Problems’: Eric Schmidt’s Pentagon Offensive ",2,3,0.04387755102040817,0.33877551020408164
224,2021-04-05 21:44:55+00:00,1213,briefing,nyt://article/daf145dd-d3e4-596a-8fbc-ec5702815eaa,Here’s what you need to know at the end of the day.,Good evening. Here’s the latest.,Here’s what you need to know at the end of the day.,"Taxes, Chauvin Trial, N.C.A.A.: Your Monday Evening Briefing","Here’s what you need to know at the end of the day. Good evening. Here’s the latest. Here’s what you need to know at the end of the day. Taxes, Chauvin Trial, N.C.A.A.: Your Monday Evening Briefing ",4,0,0.6,0.75
225,2021-01-22 01:43:24+00:00,556,News,nyt://article/dafbb483-76b5-5929-9966-6f59a645a3da,"Begun nearly a decade ago, Loon was one of the company’s high-profile, cutting-edge efforts. But it was difficult to turn into a business.","OAKLAND, Calif. — Google’s parent company Alphabet is shutting down Loon, a high-profile subsidiary spun out from its research labs that used high-altitude helium balloons to deliver cellular connectivity from the stratosphere.","Begun nearly a decade ago, Loon was one of the company’s high-profile, cutting-edge efforts. But it was difficult to turn into a business.",Google-Linked Balloon Project to Provide Cell Service Will Close,"Begun nearly a decade ago, Loon was one of the company’s high-profile, cutting-edge efforts. But it was difficult to turn into a business. OAKLAND, Calif. — Google’s parent company Alphabet is shutting down Loon, a high-profile subsidiary spun out from its research labs that used high-altitude helium balloons to deliver cellular connectivity from the stratosphere. Begun nearly a decade ago, Loon was one of the company’s high-profile, cutting-edge efforts. But it was difficult to turn into a business. Google-Linked Balloon Project to Provide Cell Service Will Close ",4,1,-0.19111111111111112,0.6177777777777778
226,2021-07-07 19:00:06+00:00,998,Op-Ed,nyt://article/db2f8da2-45d0-5d69-acaf-e98fe636018c, Ohio’s attorney general has asked for a judicial declaration that Google has evolved into a common carrier. Here’s why. ,"American law recognizes that some critically important businesses must accept all customers and treat everyone fairly because they are not easily or economically efficient to duplicate — think railroads, electricity providers and telephone companies.", Ohio’s attorney general has asked for a judicial declaration that Google has evolved into a common carrier. Here’s why. ,Let’s Make Google a Public Good," Ohio’s attorney general has asked for a judicial declaration that Google has evolved into a common carrier. Here’s why.  American law recognizes that some critically important businesses must accept all customers and treat everyone fairly because they are not easily or economically efficient to duplicate — think railroads, electricity providers and telephone companies.  Ohio’s attorney general has asked for a judicial declaration that Google has evolved into a common carrier. Here’s why.  Let’s Make Google a Public Good ",1,3,0.11499999999999999,0.5466666666666666
229,2021-04-22 11:30:49+00:00,1702,News,nyt://article/dc5c63b6-37e6-5f4f-a338-b766071d2aac,Lawmakers in D.C. delivered a one-two punch.,"Just about every day now in D.C., lawmakers seem eager to show their might against Big Tech. Yesterday gave them the opportunity to flex their muscles in two high-profile events at the Senate: the confirmation hearing for Lina Khan, a “progressive trustbuster” who was nominated for a seat at the F.T.C., and a judiciary committee hearing about Apple and Google’s control over their app stores. For good measure, a group of seven House Republicans yesterday announced a pledge to no longer take donations from major tech companies.",Lawmakers in D.C. delivered a one-two punch.,Tech Giants Take a Hit in Washington,"Lawmakers in D.C. delivered a one-two punch. Just about every day now in D.C., lawmakers seem eager to show their might against Big Tech. Yesterday gave them the opportunity to flex their muscles in two high-profile events at the Senate: the confirmation hearing for Lina Khan, a “progressive trustbuster” who was nominated for a seat at the F.T.C., and a judiciary committee hearing about Apple and Google’s control over their app stores. For good measure, a group of seven House Republicans yesterday announced a pledge to no longer take donations from major tech companies. Lawmakers in D.C. delivered a one-two punch. Tech Giants Take a Hit in Washington ",5,1,0.25416666666666665,0.4000000000000001
231,2021-10-22 17:32:00+00:00,394,News,nyt://article/ddc42652-a630-51ec-b694-055c196909ef,The new details came in an unredacted version of a lawsuit filed by Texas and 11 other states.,"WASHINGTON — Google said in an internal document that it had successfully “slowed down” European privacy rules in collaboration with other tech companies, according to a legal filing released on Friday.",The new details came in an unredacted version of a lawsuit filed by Texas and 11 other states.,"Google said it had successfully ‘slowed down’ European privacy rules, according to lawsuit.","The new details came in an unredacted version of a lawsuit filed by Texas and 11 other states. WASHINGTON — Google said in an internal document that it had successfully “slowed down” European privacy rules in collaboration with other tech companies, according to a legal filing released on Friday. The new details came in an unredacted version of a lawsuit filed by Texas and 11 other states. Google said it had successfully ‘slowed down’ European privacy rules, according to lawsuit. ",4,2,0.09897047397047397,0.3624514374514375
233,2020-07-24 17:28:50+00:00,1134,News,nyt://article/df226700-7a64-505a-8922-9fcfe70d9fe5,Technology was supposed to be all about welcoming newcomers. But is it?,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Technology was supposed to be all about welcoming newcomers. But is it?,Digital Habits Are Hard to Break,Technology was supposed to be all about welcoming newcomers. But is it? This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Technology was supposed to be all about welcoming newcomers. But is it? Digital Habits Are Hard to Break ,1,0,-0.14583333333333334,0.2708333333333333
234,2020-02-04 11:23:59+00:00,1491,News,nyt://article/e0346020-e247-5404-989d-72359e9aca21,Alphabet unexpectedly disclosed how much revenue its video platform collected last year. Was it just a distraction from results that didn’t meet investor expectations?," Silicon Valley is buzzing over Sheryl Sandberg’s engagement, nearly five years after the death of her husband, Dave Goldberg. (Want this in your inbox each morning? Sign up here.)",Alphabet unexpectedly disclosed how much revenue its video platform collected last year. Was it just a distraction from results that didn’t meet investor expectations?,A Peek Inside YouTube’s Money Machine,"Alphabet unexpectedly disclosed how much revenue its video platform collected last year. Was it just a distraction from results that didn’t meet investor expectations?  Silicon Valley is buzzing over Sheryl Sandberg’s engagement, nearly five years after the death of her husband, Dave Goldberg. (Want this in your inbox each morning? Sign up here.) Alphabet unexpectedly disclosed how much revenue its video platform collected last year. Was it just a distraction from results that didn’t meet investor expectations? A Peek Inside YouTube’s Money Machine ",2,0,0.09999999999999999,0.41904761904761906
236,2021-04-27 16:27:18+00:00,828,News,nyt://article/e1744449-ca4c-5ddd-a9ef-566b10a39c86,What the tech barons think matters. But imagine if those working in the trenches had a bigger voice.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,What the tech barons think matters. But imagine if those working in the trenches had a bigger voice.,"To Understand Tech, Look Beyond the C.E.O.s","What the tech barons think matters. But imagine if those working in the trenches had a bigger voice. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. What the tech barons think matters. But imagine if those working in the trenches had a bigger voice. To Understand Tech, Look Beyond the C.E.O.s ",5,0,0.0,0.5
237,2021-06-04 09:00:06+00:00,452,Op-Ed,nyt://article/e474fafc-0122-5e87-908b-a33f2a4907d8,"Artificial intelligence is already shaping our lives, sometimes with disastrous results.","If you talk to many of the people working on the cutting edge of artificial intelligence research, you’ll hear that we are on the cusp of a technology that will be far more transformative than simply computers and the internet, one that could bring about a new industrial revolution and usher in a utopia — or perhaps pose the greatest threat in our species’s history.","Artificial intelligence is already shaping our lives, sometimes with disastrous results.","If ‘All Models Are Wrong,’ Why Do We Give Them So Much Power?","Artificial intelligence is already shaping our lives, sometimes with disastrous results. If you talk to many of the people working on the cutting edge of artificial intelligence research, you’ll hear that we are on the cusp of a technology that will be far more transformative than simply computers and the internet, one that could bring about a new industrial revolution and usher in a utopia — or perhaps pose the greatest threat in our species’s history. Artificial intelligence is already shaping our lives, sometimes with disastrous results. If ‘All Models Are Wrong,’ Why Do We Give Them So Much Power? ",2,0,-0.1331168831168831,0.7436920222634508
238,2020-12-09 21:32:42+00:00,595,News,nyt://article/e4d64852-aa4e-5e6c-8190-f28939c1e431,"The researcher, one of the company’s best-known Black female employees, said she was fired last week.","Sundar Pichai, chief executive of Google’s parent company Alphabet, apologized for the departure of a prominent artificial intelligence researcher, whose exit has roiled the company’s work force and raised questions about its stated commitment to diversity and the responsible development of A.I. technology.","The researcher, one of the company’s best-known Black female employees, said she was fired last week.",Google Chief Apologizes for A.I. Researcher’s Dismissal,"The researcher, one of the company’s best-known Black female employees, said she was fired last week. Sundar Pichai, chief executive of Google’s parent company Alphabet, apologized for the departure of a prominent artificial intelligence researcher, whose exit has roiled the company’s work force and raised questions about its stated commitment to diversity and the responsible development of A.I. technology. The researcher, one of the company’s best-known Black female employees, said she was fired last week. Google Chief Apologizes for A.I. Researcher’s Dismissal ",1,2,-0.025925925925925918,0.4314814814814815
239,2020-08-04 16:33:07+00:00,640,News,nyt://article/e4f5e441-a6fb-5fb4-973b-96ff1b08b39a,Authorities are investigating how Google will use health and wellness data collected from Fitbit’s fitness tracking devices.,"LONDON — European Union authorities on Tuesday announced an investigation into Google’s $2.1 billion purchase of the fitness-tracking company Fitbit, raising alarms about the health data the internet giant would be acquiring as part of the deal.",Authorities are investigating how Google will use health and wellness data collected from Fitbit’s fitness tracking devices.,Google Faces European Inquiry Into Fitbit Acquisition,"Authorities are investigating how Google will use health and wellness data collected from Fitbit’s fitness tracking devices. LONDON — European Union authorities on Tuesday announced an investigation into Google’s $2.1 billion purchase of the fitness-tracking company Fitbit, raising alarms about the health data the internet giant would be acquiring as part of the deal. Authorities are investigating how Google will use health and wellness data collected from Fitbit’s fitness tracking devices. Google Faces European Inquiry Into Fitbit Acquisition ",2,4,0.0,0.3333333333333333
241,2020-06-13 09:00:21+00:00,1502,News,nyt://article/e5900706-acf8-57d1-b163-d43587cf588b,"Many companies are retreating. But Amazon, Apple, Facebook, Google and Microsoft are placing bets to get even bigger.","SAN FRANCISCO — Even as Facebook grappled this month with an internal revolt and a cascade of criticism over its refusal to take action on President Trump’s inflammatory posts, the social network was actively making other bets behind the scenes.","Many companies are retreating. But Amazon, Apple, Facebook, Google and Microsoft are placing bets to get even bigger.",The Economy Is Reeling. The Tech Giants Spy Opportunity.,"Many companies are retreating. But Amazon, Apple, Facebook, Google and Microsoft are placing bets to get even bigger. SAN FRANCISCO — Even as Facebook grappled this month with an internal revolt and a cascade of criticism over its refusal to take action on President Trump’s inflammatory posts, the social network was actively making other bets behind the scenes. Many companies are retreating. But Amazon, Apple, Facebook, Google and Microsoft are placing bets to get even bigger. The Economy Is Reeling. The Tech Giants Spy Opportunity. ",5,2,0.0475,0.38416666666666666
